region,disease,data,val
global,bone_tumours,incidence,22434
global,bone_tumours,lower,18622
global,bone_tumours,upper,35150
global,osteosarcoma,incidence,9572
global,osteosarcoma,lower,8264
global,osteosarcoma,upper,11063
global,chondrosarcoma,incidence,1034
global,chondrosarcoma,lower,688
global,chondrosarcoma,upper,1681
global,ewing_related,incidence,5672
global,ewing_related,lower,4584
global,ewing_related,upper,6799
global,other_specified_bone,incidence,1231
global,other_specified_bone,lower,819
global,other_specified_bone,upper,2057
global,unspecified_bone,incidence,4924
global,unspecified_bone,lower,2426
global,unspecified_bone,upper,15463
eastern africa,bone_tumours,incidence,2375
eastern africa,bone_tumours,lower,1357
eastern africa,bone_tumours,upper,3835
eastern africa,osteosarcoma,incidence,1165
eastern africa,osteosarcoma,lower,694
eastern africa,osteosarcoma,upper,2403
eastern africa,chondrosarcoma,incidence,75
eastern africa,chondrosarcoma,lower,9
eastern africa,chondrosarcoma,upper,235
eastern africa,ewing_related,incidence,404
eastern africa,ewing_related,lower,181
eastern africa,ewing_related,upper,969
eastern africa,other_specified_bone,incidence,241
eastern africa,other_specified_bone,lower,105
eastern africa,other_specified_bone,upper,613
eastern africa,unspecified_bone,incidence,489
eastern africa,unspecified_bone,lower,269
eastern africa,unspecified_bone,upper,865
southern africa,bone_tumours,incidence,297
southern africa,bone_tumours,lower,186
southern africa,bone_tumours,upper,453
southern africa,osteosarcoma,incidence,189
southern africa,osteosarcoma,lower,95
southern africa,osteosarcoma,upper,319
southern africa,chondrosarcoma,incidence,12
southern africa,chondrosarcoma,lower,2
southern africa,chondrosarcoma,upper,29
southern africa,ewing_related,incidence,44
southern africa,ewing_related,lower,25
southern africa,ewing_related,upper,79
southern africa,other_specified_bone,incidence,9
southern africa,other_specified_bone,lower,1
southern africa,other_specified_bone,upper,24
southern africa,unspecified_bone,incidence,42
southern africa,unspecified_bone,lower,20
southern africa,unspecified_bone,upper,86
western africa,bone_tumours,incidence,5175
western africa,bone_tumours,lower,2790
western africa,bone_tumours,upper,17603
western africa,osteosarcoma,incidence,816
western africa,osteosarcoma,lower,436
western africa,osteosarcoma,upper,1458
western africa,chondrosarcoma,incidence,475
western africa,chondrosarcoma,lower,142
western africa,chondrosarcoma,upper,1073
western africa,ewing_related,incidence,553
western africa,ewing_related,lower,251
western africa,ewing_related,upper,1181
western africa,other_specified_bone,incidence,344
western africa,other_specified_bone,lower,125
western africa,other_specified_bone,upper,567
western africa,unspecified_bone,incidence,2988
western africa,unspecified_bone,lower,953
western africa,unspecified_bone,upper,13682
northern africa,bone_tumours,incidence,1026
northern africa,bone_tumours,lower,745
northern africa,bone_tumours,upper,1271
northern africa,osteosarcoma,incidence,441
northern africa,osteosarcoma,lower,267
northern africa,osteosarcoma,upper,601
northern africa,chondrosarcoma,incidence,30
northern africa,chondrosarcoma,lower,14
northern africa,chondrosarcoma,upper,49
northern africa,ewing_related,incidence,383
northern africa,ewing_related,lower,250
northern africa,ewing_related,upper,531
northern africa,other_specified_bone,incidence,55
northern africa,other_specified_bone,lower,27
northern africa,other_specified_bone,upper,95
northern africa,unspecified_bone,incidence,117
northern africa,unspecified_bone,lower,67
northern africa,unspecified_bone,upper,209
eastern asia,bone_tumours,incidence,1737
eastern asia,bone_tumours,lower,929
eastern asia,bone_tumours,upper,2753
eastern asia,osteosarcoma,incidence,1162
eastern asia,osteosarcoma,lower,451
eastern asia,osteosarcoma,upper,2043
eastern asia,chondrosarcoma,incidence,65
eastern asia,chondrosarcoma,lower,13
eastern asia,chondrosarcoma,upper,111
eastern asia,ewing_related,incidence,305
eastern asia,ewing_related,lower,127
eastern asia,ewing_related,upper,462
eastern asia,other_specified_bone,incidence,68
eastern asia,other_specified_bone,lower,26
eastern asia,other_specified_bone,upper,118
eastern asia,unspecified_bone,incidence,137
eastern asia,unspecified_bone,lower,58
eastern asia,unspecified_bone,upper,215
south-central asia,bone_tumours,incidence,6776
south-central asia,bone_tumours,lower,5731
south-central asia,bone_tumours,upper,8131
south-central asia,osteosarcoma,incidence,2910
south-central asia,osteosarcoma,lower,2247
south-central asia,osteosarcoma,upper,3576
south-central asia,chondrosarcoma,incidence,221
