region,disease,data,val
global,carcinoma_melanoma,incidence,16182
global,carcinoma_melanoma,lower,13908
global,carcinoma_melanoma,upper,20421
global,adrenocortical,incidence,526
global,adrenocortical,lower,381
global,adrenocortical,upper,807
global,thyroid,incidence,3240
global,thyroid,lower,2571
global,thyroid,upper,5051
global,nasopharyngeal,incidence,2451
global,nasopharyngeal,lower,1833
global,nasopharyngeal,upper,5071
global,melanoma,incidence,1245
global,melanoma,lower,970
global,melanoma,upper,1968
global,skin_carcinoma,incidence,1849
global,skin_carcinoma,lower,1507
global,skin_carcinoma,upper,2298
global,unspecified_carcinoma,incidence,6871
global,unspecified_carcinoma,lower,5319
global,unspecified_carcinoma,upper,9850
eastern africa,carcinoma_melanoma,incidence,2264
eastern africa,carcinoma_melanoma,lower,1750
eastern africa,carcinoma_melanoma,upper,3325
eastern africa,adrenocortical,incidence,58
eastern africa,adrenocortical,lower,10
eastern africa,adrenocortical,upper,232
eastern africa,thyroid,incidence,239
eastern africa,thyroid,lower,103
eastern africa,thyroid,upper,477
eastern africa,nasopharyngeal,incidence,479
eastern africa,nasopharyngeal,lower,272
eastern africa,nasopharyngeal,upper,795
eastern africa,melanoma,incidence,163
eastern africa,melanoma,lower,87
eastern africa,melanoma,upper,346
eastern africa,skin_carcinoma,incidence,289
eastern africa,skin_carcinoma,lower,155
eastern africa,skin_carcinoma,upper,479
eastern africa,unspecified_carcinoma,incidence,1037
eastern africa,unspecified_carcinoma,lower,615
eastern africa,unspecified_carcinoma,upper,1914
southern africa,carcinoma_melanoma,incidence,227
southern africa,carcinoma_melanoma,lower,143
southern africa,carcinoma_melanoma,upper,379
southern africa,adrenocortical,incidence,8
southern africa,adrenocortical,lower,1
southern africa,adrenocortical,upper,20
southern africa,thyroid,incidence,15
southern africa,thyroid,lower,3
southern africa,thyroid,upper,64
southern africa,nasopharyngeal,incidence,44
southern africa,nasopharyngeal,lower,18
southern africa,nasopharyngeal,upper,80
southern africa,melanoma,incidence,27
southern africa,melanoma,lower,11
southern africa,melanoma,upper,52
southern africa,skin_carcinoma,incidence,31
southern africa,skin_carcinoma,lower,9
southern africa,skin_carcinoma,upper,74
southern africa,unspecified_carcinoma,incidence,101
southern africa,unspecified_carcinoma,lower,35
southern africa,unspecified_carcinoma,upper,244
western africa,carcinoma_melanoma,incidence,3233
western africa,carcinoma_melanoma,lower,2109
western africa,carcinoma_melanoma,upper,6198
western africa,adrenocortical,incidence,54
western africa,adrenocortical,lower,11
western africa,adrenocortical,upper,187
western africa,thyroid,incidence,222
western africa,thyroid,lower,111
western africa,thyroid,upper,435
western africa,nasopharyngeal,incidence,665
western africa,nasopharyngeal,lower,210
western africa,nasopharyngeal,upper,3150
western africa,melanoma,incidence,223
western africa,melanoma,lower,100
