region,disease,data,val
global,cns_neoplasms,incidence,45850
global,cns_neoplasms,lower,41965
global,cns_neoplasms,upper,50490
global,ependymoma,incidence,4462
global,ependymoma,lower,3619
global,ependymoma,upper,5308
global,astrocytoma,incidence,14053
global,astrocytoma,lower,12198
global,astrocytoma,upper,16249
global,cns_embryonal,incidence,11065
global,cns_embryonal,lower,9459
global,cns_embryonal,upper,12583
global,other_gliomas,incidence,6110
global,other_gliomas,lower,5082
global,other_gliomas,upper,7413
global,other_specified_cns,incidence,2155
global,other_specified_cns,lower,1625
global,other_specified_cns,upper,3042
global,unspecified_cns,incidence,8004
global,unspecified_cns,lower,6529
global,unspecified_cns,upper,11453
eastern africa,cns_neoplasms,incidence,2904
eastern africa,cns_neoplasms,lower,2164
eastern africa,cns_neoplasms,upper,3892
eastern africa,ependymoma,incidence,175
eastern africa,ependymoma,lower,60
eastern africa,ependymoma,upper,406
eastern africa,astrocytoma,incidence,536
eastern africa,astrocytoma,lower,323
eastern africa,astrocytoma,upper,868
eastern africa,cns_embryonal,incidence,493
eastern africa,cns_embryonal,lower,263
eastern africa,cns_embryonal,upper,1034
eastern africa,other_gliomas,incidence,426
eastern africa,other_gliomas,lower,248
eastern africa,other_gliomas,upper,787
eastern africa,other_specified_cns,incidence,182
eastern africa,other_specified_cns,lower,77
eastern africa,other_specified_cns,upper,390
eastern africa,unspecified_cns,incidence,1093
eastern africa,unspecified_cns,lower,704
eastern africa,unspecified_cns,upper,1695
southern africa,cns_neoplasms,incidence,796
southern africa,cns_neoplasms,lower,564
southern africa,cns_neoplasms,upper,1011
southern africa,ependymoma,incidence,77
southern africa,ependymoma,lower,39
southern africa,ependymoma,upper,175
southern africa,astrocytoma,incidence,197
southern africa,astrocytoma,lower,111
southern africa,astrocytoma,upper,319
southern africa,cns_embryonal,incidence,179
southern africa,cns_embryonal,lower,110
southern africa,cns_embryonal,upper,284
southern africa,other_gliomas,incidence,123
southern africa,other_gliomas,lower,75
southern africa,other_gliomas,upper,209
southern africa,other_specified_cns,incidence,45
southern africa,other_specified_cns,lower,24
southern africa,other_specified_cns,upper,82
southern africa,unspecified_cns,incidence,175
southern africa,unspecified_cns,lower,67
southern africa,unspecified_cns,upper,383
western africa,cns_neoplasms,incidence,3475
western africa,cns_neoplasms,lower,2351
western africa,cns_neoplasms,upper,6696
western africa,ependymoma,incidence,535
western africa,ependymoma,lower,222
western africa,ependymoma,upper,1218
western africa,astrocytoma,incidence,634
western africa,astrocytoma,lower,245
western africa,astrocytoma,upper,1395
western africa,cns_embryonal,incidence,576
western africa,cns_embryonal,lower,188
western africa,cns_embryonal,upper,1156
western africa,other_gliomas,incidence,238
western africa,other_gliomas,lower,97
western africa,other_gliomas,upper,440
western africa,other_specified_cns,incidence,217
western africa,other_specified_cns,lower,84
western africa,other_specified_cns,upper,536
western africa,unspecified_cns,incidence,1275
western africa,unspecified_cns,lower,576
western africa,unspecified_cns,upper,4734
northern africa,cns_neoplasms,incidence,2168
northern africa,cns_neoplasms,lower,1772
northern africa,cns_neoplasms,upper,2665
northern africa,ependymoma,incidence,233
northern africa,ependymoma,lower,158
northern africa,ependymoma,upper,329
northern africa,astrocytoma,incidence,656
northern africa,astrocytoma,lower,383
northern africa,astrocytoma,upper,953
northern africa,cns_embryonal,incidence,571
northern africa,cns_embryonal,lower,313
northern africa,cns_embryonal,upper,793
northern africa,other_gliomas,incidence,188
northern africa,other_gliomas,lower,115
northern africa,other_gliomas,upper,255
northern africa,other_specified_cns,incidence,91
northern africa,other_specified_cns,lower,51
northern africa,other_specified_cns,upper,150
northern africa,unspecified_cns,incidence,429
northern africa,unspecified_cns,lower,256
northern africa,unspecified_cns,upper,669
eastern asia,cns_neoplasms,incidence,6418
eastern asia,cns_neoplasms,lower,4366
eastern asia,cns_neoplasms,upper,8214
eastern asia,ependymoma,incidence,671
eastern asia,ependymoma,lower,237
eastern asia,ependymoma,upper,1098
eastern asia,astrocytoma,incidence,1620
eastern asia,astrocytoma,lower,541
eastern asia,astrocytoma,upper,2861
eastern asia,cns_embryonal,incidence,1602
eastern asia,cns_embryonal,lower,697
eastern asia,cns_embryonal,upper,2518
eastern asia,other_gliomas,incidence,805
