region,disease,data,val
global,germ_cell_tumours,incidence,14402
global,germ_cell_tumours,lower,12358
global,germ_cell_tumours,upper,18314
global,cns_germ_cell,incidence,2207
global,cns_germ_cell,lower,1449
global,cns_germ_cell,upper,2976
global,other_extragonadal,incidence,3008
global,other_extragonadal,lower,2113
global,other_extragonadal,upper,5773
global,gonadal_germ_cell,incidence,6528
global,gonadal_germ_cell,lower,5457
global,gonadal_germ_cell,upper,7792
global,gonadal_carcinoma,incidence,1249
global,gonadal_carcinoma,lower,891
global,gonadal_carcinoma,upper,2237
global,unspecified_gonadal,incidence,1410
global,unspecified_gonadal,lower,1067
global,unspecified_gonadal,upper,1985
eastern africa,germ_cell_tumours,incidence,1117
eastern africa,germ_cell_tumours,lower,794
eastern africa,germ_cell_tumours,upper,1600
eastern africa,cns_germ_cell,incidence,285
eastern africa,cns_germ_cell,lower,118
eastern africa,cns_germ_cell,upper,701
eastern africa,other_extragonadal,incidence,233
eastern africa,other_extragonadal,lower,112
eastern africa,other_extragonadal,upper,490
eastern africa,gonadal_germ_cell,incidence,243
eastern africa,gonadal_germ_cell,lower,130
eastern africa,gonadal_germ_cell,upper,386
eastern africa,gonadal_carcinoma,incidence,107
eastern africa,gonadal_carcinoma,lower,44
eastern africa,gonadal_carcinoma,upper,280
eastern africa,unspecified_gonadal,incidence,249
eastern africa,unspecified_gonadal,lower,146
eastern africa,unspecified_gonadal,upper,410
southern africa,germ_cell_tumours,incidence,253
southern africa,germ_cell_tumours,lower,164
southern africa,germ_cell_tumours,upper,461
southern africa,cns_germ_cell,incidence,14
southern africa,cns_germ_cell,lower,4
southern africa,cns_germ_cell,upper,33
southern africa,other_extragonadal,incidence,125
southern africa,other_extragonadal,lower,71
southern africa,other_extragonadal,upper,215
southern africa,gonadal_germ_cell,incidence,69
southern africa,gonadal_germ_cell,lower,28
southern africa,gonadal_germ_cell,upper,133
southern africa,gonadal_carcinoma,incidence,33
southern africa,gonadal_carcinoma,lower,9
southern africa,gonadal_carcinoma,upper,139
