region,disease,data,val
global,hepatic_tumours,incidence,7552
global,hepatic_tumours,lower,6205
global,hepatic_tumours,upper,10465
global,hepatoblastoma,incidence,3973
global,hepatoblastoma,lower,3051
global,hepatoblastoma,upper,7031
global,hepatic_carcinoma,incidence,1960
global,hepatic_carcinoma,lower,1456
global,hepatic_carcinoma,upper,2556
global,unspecified_hepatic,incidence,1619
global,unspecified_hepatic,lower,796
global,unspecified_hepatic,upper,2506
eastern africa,hepatic_tumours,incidence,832
eastern africa,hepatic_tumours,lower,509
eastern africa,hepatic_tumours,upper,1463
eastern africa,hepatoblastoma,incidence,275
eastern africa,hepatoblastoma,lower,115
eastern africa,hepatoblastoma,upper,630
eastern africa,hepatic_carcinoma,incidence,295
eastern africa,hepatic_carcinoma,lower,161
eastern africa,hepatic_carcinoma,upper,581
eastern africa,unspecified_hepatic,incidence,262
eastern africa,unspecified_hepatic,lower,64
eastern africa,unspecified_hepatic,upper,653
southern africa,hepatic_tumours,incidence,128
southern africa,hepatic_tumours,lower,84
southern africa,hepatic_tumours,upper,191
southern africa,hepatoblastoma,incidence,76
southern africa,hepatoblastoma,lower,44
southern africa,hepatoblastoma,upper,115
southern africa,hepatic_carcinoma,incidence,44
southern africa,hepatic_carcinoma,lower,14
southern africa,hepatic_carcinoma,upper,79
southern africa,unspecified_hepatic,incidence,9
southern africa,unspecified_hepatic,lower,0
southern africa,unspecified_hepatic,upper,30
western africa,hepatic_tumours,incidence,1700
western africa,hepatic_tumours,lower,904
western africa,hepatic_tumours,upper,4686
western africa,hepatoblastoma,incidence,764
western africa,hepatoblastoma,lower,265
western africa,hepatoblastoma,upper,3851
western africa,hepatic_carcinoma,incidence,415
western africa,hepatic_carcinoma,lower,158
western africa,hepatic_carcinoma,upper,905
western africa,unspecified_hepatic,incidence,520
western africa,unspecified_hepatic,lower,193
western africa,unspecified_hepatic,upper,981
northern africa,hepatic_tumours,incidence,322
northern africa,hepatic_tumours,lower,220
northern africa,hepatic_tumours,upper,453
northern africa,hepatoblastoma,incidence,125
northern africa,hepatoblastoma,lower,63
northern africa,hepatoblastoma,upper,183
northern africa,hepatic_carcinoma,incidence,145
northern africa,hepatic_carcinoma,lower,75
northern africa,hepatic_carcinoma,upper,267
northern africa,unspecified_hepatic,incidence,52
northern africa,unspecified_hepatic,lower,24
northern africa,unspecified_hepatic,upper,88
eastern asia,hepatic_tumours,incidence,981
eastern asia,hepatic_tumours,lower,533
eastern asia,hepatic_tumours,upper,1425
eastern asia,hepatoblastoma,incidence,706
eastern asia,hepatoblastoma,lower,282
eastern asia,hepatoblastoma,upper,1049
eastern asia,hepatic_carcinoma,incidence,136
eastern asia,hepatic_carcinoma,lower,42
eastern asia,hepatic_carcinoma,upper,294
eastern asia,unspecified_hepatic,incidence,139
eastern asia,unspecified_hepatic,lower,21
eastern asia,unspecified_hepatic,upper,372
south-central asia,hepatic_tumours,incidence,1610
south-central asia,hepatic_tumours,lower,1295
south-central asia,hepatic_tumours,upper,1931
south-central asia,hepatoblastoma,incidence,832
south-central asia,hepatoblastoma,lower,591
south-central asia,hepatoblastoma,upper,1091
south-central asia,hepatic_carcinoma,incidence,568
south-central asia,hepatic_carcinoma,lower,422
south-central asia,hepatic_carcinoma,upper,792
south-central asia,unspecified_hepatic,incidence,211
south-central asia,unspecified_hepatic,lower,109
south-central asia,unspecified_hepatic,upper,401
south-eastern asia,hepatic_tumours,incidence,792
south-eastern asia,hepatic_tumours,lower,535
south-eastern asia,hepatic_tumours,upper,1131
south-eastern asia,hepatoblastoma,incidence,390
south-eastern asia,hepatoblastoma,lower,218
south-eastern asia,hepatoblastoma,upper,634
south-eastern asia,hepatic_carcinoma,incidence,142
south-eastern asia,hepatic_carcinoma,lower,77
south-eastern asia,hepatic_carcinoma,upper,221
south-eastern asia,unspecified_hepatic,incidence,261
south-eastern asia,unspecified_hepatic,lower,118
south-eastern asia,unspecified_hepatic,upper,470
western asia,hepatic_tumours,incidence,149
western asia,hepatic_tumours,lower,98
western asia,hepatic_tumours,upper,199
western asia,hepatoblastoma,incidence,101
western asia,hepatoblastoma,lower,55
western asia,hepatoblastoma,upper,152
western asia,hepatic_carcinoma,incidence,30
western asia,hepatic_carcinoma,lower,14
western asia,hepatic_carcinoma,upper,47
western asia,unspecified_hepatic,incidence,18
western asia,unspecified_hepatic,lower,5
western asia,unspecified_hepatic,upper,42
eastern europe,hepatic_tumours,incidence,112
eastern europe,hepatic_tumours,lower,66
eastern europe,hepatic_tumours,upper,158
eastern europe,hepatoblastoma,incidence,86
eastern europe,hepatoblastoma,lower,47
eastern europe,hepatoblastoma,upper,123
eastern europe,hepatic_carcinoma,incidence,17
eastern europe,hepatic_carcinoma,lower,5
eastern europe,hepatic_carcinoma,upper,34
eastern europe,unspecified_hepatic,incidence,9
eastern europe,unspecified_hepatic,lower,1
eastern europe,unspecified_hepatic,upper,22
northern europe,hepatic_tumours,incidence,36
northern europe,hepatic_tumours,lower,19
northern europe,hepatic_tumours,upper,54
northern europe,hepatoblastoma,incidence,25
northern europe,hepatoblastoma,lower,11
northern europe,hepatoblastoma,upper,40
northern europe,hepatic_carcinoma,incidence,8
northern europe,hepatic_carcinoma,lower,2
northern europe,hepatic_carcinoma,upper,17
northern europe,unspecified_hepatic,incidence,4
northern europe,unspecified_hepatic,lower,0
northern europe,unspecified_hepatic,upper,12
southern europe,hepatic_tumours,incidence,69
southern europe,hepatic_tumours,lower,41
southern europe,hepatic_tumours,upper,148
southern europe,hepatoblastoma,incidence,33
southern europe,hepatoblastoma,lower,19
southern europe,hepatoblastoma,upper,49
southern europe,hepatic_carcinoma,incidence,8
southern europe,hepatic_carcinoma,lower,3
southern europe,hepatic_carcinoma,upper,17
