region,disease,data,val
global,lymphoma_related,incidence,69567
global,lymphoma_related,lower,59262
global,lymphoma_related,upper,89891
global,hodgkin,incidence,16606
global,hodgkin,lower,13834
global,hodgkin,upper,19616
global,non_hodgkin_except_bl,incidence,21661
global,non_hodgkin_except_bl,lower,16552
global,non_hodgkin_except_bl,upper,29681
global,burkitt_bl,incidence,19550
global,burkitt_bl,lower,12178
global,burkitt_bl,upper,43761
global,lymphoreticular,incidence,3481
global,lymphoreticular,lower,2363
global,lymphoreticular,upper,8817
global,unspecified_lymphoma,incidence,8268
global,unspecified_lymphoma,lower,6165
global,unspecified_lymphoma,upper,11196
eastern africa,lymphoma_related,incidence,12092
eastern africa,lymphoma_related,lower,8363
eastern africa,lymphoma_related,upper,17534
eastern africa,hodgkin,incidence,1901
eastern africa,hodgkin,lower,1236
eastern africa,hodgkin,upper,2817
eastern africa,non_hodgkin_except_bl,incidence,3183
eastern africa,non_hodgkin_except_bl,lower,1867
eastern africa,non_hodgkin_except_bl,upper,5814
eastern africa,burkitt_bl,incidence,4091
eastern africa,burkitt_bl,lower,1680
eastern africa,burkitt_bl,upper,7214
eastern africa,lymphoreticular,incidence,733
eastern africa,lymphoreticular,lower,191
eastern africa,lymphoreticular,upper,3147
eastern africa,unspecified_lymphoma,incidence,2184
eastern africa,unspecified_lymphoma,lower,1259
eastern africa,unspecified_lymphoma,upper,4179
southern africa,lymphoma_related,incidence,1035
southern africa,lymphoma_related,lower,785
southern africa,lymphoma_related,upper,1342
southern africa,hodgkin,incidence,312
southern africa,hodgkin,lower,186
southern africa,hodgkin,upper,496
southern africa,non_hodgkin_except_bl,incidence,446
southern africa,non_hodgkin_except_bl,lower,220
southern africa,non_hodgkin_except_bl,upper,751
southern africa,burkitt_bl,incidence,200
southern africa,burkitt_bl,lower,120
southern africa,burkitt_bl,upper,308
southern africa,lymphoreticular,incidence,44
southern africa,lymphoreticular,lower,17
southern africa,lymphoreticular,upper,106
southern africa,unspecified_lymphoma,incidence,34
southern africa,unspecified_lymphoma,lower,10
southern africa,unspecified_lymphoma,upper,80
western africa,lymphoma_related,incidence,23277
western africa,lymphoma_related,lower,14885
western africa,lymphoma_related,upper,43037
western africa,hodgkin,incidence,2457
western africa,hodgkin,lower,1042
western africa,hodgkin,upper,4307
western africa,non_hodgkin_except_bl,incidence,5888
western africa,non_hodgkin_except_bl,lower,2465
western africa,non_hodgkin_except_bl,upper,13459
western africa,burkitt_bl,incidence,11803
western africa,burkitt_bl,lower,4747
western africa,burkitt_bl,upper,33914
western africa,lymphoreticular,incidence,549
western africa,lymphoreticular,lower,123
western africa,lymphoreticular,upper,3633
western africa,unspecified_lymphoma,incidence,2581
western africa,unspecified_lymphoma,lower,1064
western africa,unspecified_lymphoma,upper,4582
northern africa,lymphoma_related,incidence,2745
northern africa,lymphoma_related,lower,2078
northern africa,lymphoma_related,upper,3357
northern africa,hodgkin,incidence,1117
northern africa,hodgkin,lower,707
northern africa,hodgkin,upper,1488
northern africa,non_hodgkin_except_bl,incidence,851
northern africa,non_hodgkin_except_bl,lower,415
northern africa,non_hodgkin_except_bl,upper,1303
northern africa,burkitt_bl,incidence,403
northern africa,burkitt_bl,lower,198
northern africa,burkitt_bl,upper,656
northern africa,lymphoreticular,incidence,187
northern africa,lymphoreticular,lower,82
northern africa,lymphoreticular,upper,337
