region,disease,data,val
global,neuroblastoma,incidence,15030
global,neuroblastoma,lower,12468
global,neuroblastoma,upper,17036
global,ganglio_neuroblastoma,incidence,14288
global,ganglio_neuroblastoma,lower,11814
global,ganglio_neuroblastoma,upper,16240
global,peripheral_nervous,incidence,742
global,peripheral_nervous,lower,516
global,peripheral_nervous,upper,2135
global,retinoblastoma,incidence,19416
global,retinoblastoma,lower,15025
global,retinoblastoma,upper,28512
eastern africa,neuroblastoma,incidence,782
eastern africa,neuroblastoma,lower,440
eastern africa,neuroblastoma,upper,1508
eastern africa,ganglio_neuroblastoma,incidence,632
eastern africa,ganglio_neuroblastoma,lower,353
eastern africa,ganglio_neuroblastoma,upper,1233
eastern africa,peripheral_nervous,incidence,150
eastern africa,peripheral_nervous,lower,40
eastern africa,peripheral_nervous,upper,717
eastern africa,retinoblastoma,incidence,2310
eastern africa,retinoblastoma,lower,1540
eastern africa,retinoblastoma,upper,3752
southern africa,neuroblastoma,incidence,293
southern africa,neuroblastoma,lower,173
southern africa,neuroblastoma,upper,585
southern africa,ganglio_neuroblastoma,incidence,275
southern africa,ganglio_neuroblastoma,lower,159
southern africa,ganglio_neuroblastoma,upper,567
southern africa,peripheral_nervous,incidence,18
southern africa,peripheral_nervous,lower,4
southern africa,peripheral_nervous,upper,46
southern africa,retinoblastoma,incidence,515
southern africa,retinoblastoma,lower,251
southern africa,retinoblastoma,upper,907
western africa,neuroblastoma,incidence,1410
western africa,neuroblastoma,lower,757
western africa,neuroblastoma,upper,2196
western africa,ganglio_neuroblastoma,incidence,1247
western africa,ganglio_neuroblastoma,lower,617
western africa,ganglio_neuroblastoma,upper,1963
western africa,peripheral_nervous,incidence,163
western africa,peripheral_nervous,lower,59
western africa,peripheral_nervous,upper,766
western africa,retinoblastoma,incidence,7824
western africa,retinoblastoma,lower,3725
western africa,retinoblastoma,upper,15926
northern africa,neuroblastoma,incidence,1228
northern africa,neuroblastoma,lower,835
northern africa,neuroblastoma,upper,1606
northern africa,ganglio_neuroblastoma,incidence,1169
northern africa,ganglio_neuroblastoma,lower,754
northern africa,ganglio_neuroblastoma,upper,1564
northern africa,peripheral_nervous,incidence,59
northern africa,peripheral_nervous,lower,21
northern africa,peripheral_nervous,upper,164
northern africa,retinoblastoma,incidence,460
northern africa,retinoblastoma,lower,298
northern africa,retinoblastoma,upper,642
eastern asia,neuroblastoma,incidence,3048
eastern asia,neuroblastoma,lower,1588
eastern asia,neuroblastoma,upper,4467
eastern asia,ganglio_neuroblastoma,incidence,3007
eastern asia,ganglio_neuroblastoma,lower,1545
eastern asia,ganglio_neuroblastoma,upper,4419
eastern asia,peripheral_nervous,incidence,41
eastern asia,peripheral_nervous,lower,10
eastern asia,peripheral_nervous,upper,85
eastern asia,retinoblastoma,incidence,1345
eastern asia,retinoblastoma,lower,378
eastern asia,retinoblastoma,upper,2221
south-central asia,neuroblastoma,incidence,3256
south-central asia,neuroblastoma,lower,1987
south-central asia,neuroblastoma,upper,4285
south-central asia,ganglio_neuroblastoma,incidence,3077
south-central asia,ganglio_neuroblastoma,lower,1840
south-central asia,ganglio_neuroblastoma,upper,4119
south-central asia,peripheral_nervous,incidence,178
south-central asia,peripheral_nervous,lower,121
south-central asia,peripheral_nervous,upper,302
south-central asia,retinoblastoma,incidence,3504
south-central asia,retinoblastoma,lower,2476
south-central asia,retinoblastoma,upper,4785
south-eastern asia,neuroblastoma,incidence,1049
south-eastern asia,neuroblastoma,lower,604
south-eastern asia,neuroblastoma,upper,1592
south-eastern asia,ganglio_neuroblastoma,incidence,1025
south-eastern asia,ganglio_neuroblastoma,lower,579
south-eastern asia,ganglio_neuroblastoma,upper,1558
south-eastern asia,peripheral_nervous,incidence,24
south-eastern asia,peripheral_nervous,lower,10
south-eastern asia,peripheral_nervous,upper,44
south-eastern asia,retinoblastoma,incidence,1393
south-eastern asia,retinoblastoma,lower,878
south-eastern asia,retinoblastoma,upper,2003
western asia,neuroblastoma,incidence,784
