region,disease,incidence,lower,upper
eastern africa,bone_tumours,2375,1357,3835
southern africa,bone_tumours,297,186,453
western africa,bone_tumours,5175,2790,17603
northern africa,bone_tumours,1026,745,1271
eastern asia,bone_tumours,1737,929,2753
south-central asia,bone_tumours,6776,5731,8131
south-eastern asia,bone_tumours,1528,1029,2383
western asia,bone_tumours,627,492,788
eastern europe,bone_tumours,303,221,377
northern europe,bone_tumours,101,70,137
southern europe,bone_tumours,182,131,231
western europe,bone_tumours,219,171,270
northern america,bone_tumours,451,339,545
caribbean,bone_tumours,73,45,111
central america,bone_tumours,461,262,691
south america,bone_tumours,1034,772,1330
oceania,bone_tumours,34,14,57
australia/new zealand,bone_tumours,35,19,57
eastern africa,carcinoma_melanoma,2264,1750,3325
southern africa,carcinoma_melanoma,227,143,379
western africa,carcinoma_melanoma,3233,2109,6198
northern africa,carcinoma_melanoma,838,658,1081
eastern asia,carcinoma_melanoma,1309,850,1878
south-central asia,carcinoma_melanoma,3978,3117,4996
south-eastern asia,carcinoma_melanoma,1334,1011,1725
western asia,carcinoma_melanoma,469,375,578
eastern europe,carcinoma_melanoma,256,184,344
northern europe,carcinoma_melanoma,68,46,94
southern europe,carcinoma_melanoma,146,112,188
western europe,carcinoma_melanoma,187,142,243
northern america,carcinoma_melanoma,444,346,532
caribbean,carcinoma_melanoma,85,54,123
central america,carcinoma_melanoma,542,379,782
south america,carcinoma_melanoma,754,583,937
oceania,carcinoma_melanoma,17,7,32
australia/new zealand,carcinoma_melanoma,30,14,51
eastern africa,cns_neoplasms,2904,2164,3892
southern africa,cns_neoplasms,796,564,1011
western africa,cns_neoplasms,3475,2351,6696
northern africa,cns_neoplasms,2168,1772,2665
eastern asia,cns_neoplasms,6418,4366,8214
south-central asia,cns_neoplasms,13806,11751,15879
south-eastern asia,cns_neoplasms,3232,2583,4005
western asia,cns_neoplasms,1855,1502,2269
eastern europe,cns_neoplasms,1384,1111,1630
northern europe,cns_neoplasms,622,507,729
southern europe,cns_neoplasms,777,669,897
western europe,cns_neoplasms,942,799,1105
northern america,cns_neoplasms,2560,2243,2865
caribbean,cns_neoplasms,249,185,326
central america,cns_neoplasms,1369,971,1811
south america,cns_neoplasms,3093,2492,3666
oceania,cns_neoplasms,79,47,113
australia/new zealand,cns_neoplasms,121,82,166
eastern africa,germ_cell_tumours,1117,794,1600
southern africa,germ_cell_tumours,253,164,461
western africa,germ_cell_tumours,2299,1384,5599
northern africa,germ_cell_tumours,355,257,586
eastern asia,germ_cell_tumours,2709,1720,3662
south-central asia,germ_cell_tumours,3615,2974,4507
south-eastern asia,germ_cell_tumours,1427,1100,1848
western asia,germ_cell_tumours,370,285,479
eastern europe,germ_cell_tumours,197,141,259
northern europe,germ_cell_tumours,70,48,96
southern europe,germ_cell_tumours,106,79,135
western europe,germ_cell_tumours,132,99,166
northern america,germ_cell_tumours,352,274,426
caribbean,germ_cell_tumours,48,25,86
central america,germ_cell_tumours,542,291,818
south america,germ_cell_tumours,757,591,935
oceania,germ_cell_tumours,25,9,47
australia/new zealand,germ_cell_tumours,28,13,44
eastern africa,hepatic_tumours,832,509,1463
southern africa,hepatic_tumours,128,84,191
western africa,hepatic_tumours,1700,904,4686
northern africa,hepatic_tumours,322,220,453
eastern asia,hepatic_tumours,981,533,1425
south-central asia,hepatic_tumours,1610,1295,1931
south-eastern asia,hepatic_tumours,792,535,1131
western asia,hepatic_tumours,149,98,199
eastern europe,hepatic_tumours,112,66,158
northern europe,hepatic_tumours,36,19,54
southern europe,hepatic_tumours,69,41,148
western europe,hepatic_tumours,49,28,70
northern america,hepatic_tumours,176,110,231
caribbean,hepatic_tumours,17,7,30
central america,hepatic_tumours,250,133,408
south america,hepatic_tumours,308,218,394
oceania,hepatic_tumours,10,2,22
australia/new zealand,hepatic_tumours,11,4,21
eastern africa,leukaemia,6402,4437,9422
southern africa,leukaemia,1333,949,1729
western africa,leukaemia,4229,2819,6683
northern africa,leukaemia,3533,2378,4640
eastern asia,leukaemia,14752,11034,19851
south-central asia,leukaemia,40678,34395,48175
south-eastern asia,leukaemia,13028,9683,18099
western asia,leukaemia,4182,3299,5098
eastern europe,leukaemia,2361,1751,3051
northern europe,leukaemia,851,714,994
southern europe,leukaemia,1135,967,1277
western europe,leukaemia,1357,1179,1566
northern america,leukaemia,3431,3165,3790
caribbean,leukaemia,446,294,664
central america,leukaemia,4454,2797,5828
south america,leukaemia,7290,5631,8521
oceania,leukaemia,176,93,282
australia/new zealand,leukaemia,306,249,397
eastern africa,lymphoma_related,12092,8363,17534
southern africa,lymphoma_related,1035,785,1342
