region,disease,incidence,lower,upper
eastern africa,osteosarcoma,1165,694,2403
eastern africa,chondrosarcoma,75,9,235
eastern africa,ewing_related,404,181,969
eastern africa,other_specified_bone,241,105,613
eastern africa,unspecified_bone,489,269,865
southern africa,osteosarcoma,189,95,319
southern africa,chondrosarcoma,12,2,29
southern africa,ewing_related,44,25,79
southern africa,other_specified_bone,9,1,24
southern africa,unspecified_bone,42,20,86
western africa,osteosarcoma,816,436,1458
western africa,chondrosarcoma,475,142,1073
western africa,ewing_related,553,251,1181
western africa,other_specified_bone,344,125,567
western africa,unspecified_bone,2988,953,13682
northern africa,osteosarcoma,441,267,601
northern africa,chondrosarcoma,30,14,49
northern africa,ewing_related,383,250,531
northern africa,other_specified_bone,55,27,95
northern africa,unspecified_bone,117,67,209
eastern asia,osteosarcoma,1162,451,2043
eastern asia,chondrosarcoma,65,13,111
eastern asia,ewing_related,305,127,462
eastern asia,other_specified_bone,68,26,118
eastern asia,unspecified_bone,137,58,215
south-central asia,osteosarcoma,2910,2247,3576
south-central asia,chondrosarcoma,221,133,329
south-central asia,ewing_related,2527,1447,3208
south-central asia,other_specified_bone,341,205,560
south-central asia,unspecified_bone,777,534,1062
south-eastern asia,osteosarcoma,1074,598,1984
south-eastern asia,chondrosarcoma,39,18,69
south-eastern asia,ewing_related,209,112,312
south-eastern asia,other_specified_bone,32,12,61
south-eastern asia,unspecified_bone,174,101,287
western asia,osteosarcoma,277,175,383
western asia,chondrosarcoma,17,7,34
western asia,ewing_related,286,188,407
western asia,other_specified_bone,20,9,34
western asia,unspecified_bone,26,11,47
eastern europe,osteosarcoma,134,80,202
eastern europe,chondrosarcoma,16,6,30
eastern europe,ewing_related,121,77,168
eastern europe,other_specified_bone,15,6,27
eastern europe,unspecified_bone,18,5,35
northern europe,osteosarcoma,44,21,67
northern europe,chondrosarcoma,3,0,8
northern europe,ewing_related,41,22,61
northern europe,other_specified_bone,11,2,29
northern europe,unspecified_bone,3,0,8
southern europe,osteosarcoma,79,46,109
southern europe,chondrosarcoma,4,0,11
southern europe,ewing_related,76,50,106
southern europe,other_specified_bone,3,0,7
southern europe,unspecified_bone,21,3,60
western europe,osteosarcoma,104,66,140
western europe,chondrosarcoma,6,1,13
western europe,ewing_related,97,68,130
western europe,other_specified_bone,9,2,19
western europe,unspecified_bone,4,0,9
northern america,osteosarcoma,248,142,315
northern america,chondrosarcoma,11,4,20
northern america,ewing_related,162,99,216
northern america,other_specified_bone,17,6,28
northern america,unspecified_bone,12,4,21
caribbean,osteosarcoma,44,22,75
caribbean,chondrosarcoma,5,0,17
caribbean,ewing_related,16,6,31
caribbean,other_specified_bone,2,0,8
caribbean,unspecified_bone,6,1,20
central america,osteosarcoma,271,89,457
central america,chondrosarcoma,21,3,50
central america,ewing_related,108,35,174
central america,other_specified_bone,20,3,55
central america,unspecified_bone,41,13,78
south america,osteosarcoma,582,357,799
south america,chondrosarcoma,34,16,61
south america,ewing_related,306,168,437
south america,other_specified_bone,42,21,81
south america,unspecified_bone,69,36,106
oceania,osteosarcoma,14,3,37
oceania,chondrosarcoma,0,0,1
oceania,ewing_related,16,4,33
oceania,other_specified_bone,2,0,8
oceania,unspecified_bone,1,0,5
australia/new zealand,osteosarcoma,17,4,38
australia/new zealand,chondrosarcoma,0,0,2
australia/new zealand,ewing_related,17,8,29
australia/new zealand,other_specified_bone,1,0,3
australia/new zealand,unspecified_bone,0,0,2
eastern africa,adrenocortical,58,10,232
eastern africa,thyroid,239,103,477
eastern africa,nasopharyngeal,479,272,795
eastern africa,melanoma,163,87,346
eastern africa,skin_carcinoma,289,155,479
eastern africa,unspecified_carcinoma,1037,615,1914
southern africa,adrenocortical,8,1,20
southern africa,thyroid,15,3,64
southern africa,nasopharyngeal,44,18,80
southern africa,melanoma,27,11,52
southern africa,skin_carcinoma,31,9,74
southern africa,unspecified_carcinoma,101,35,244
western africa,adrenocortical,54,11,187
western africa,thyroid,222,111,435
western africa,nasopharyngeal,665,210,3150
western africa,melanoma,223,100,575
western africa,skin_carcinoma,368,213,573
western africa,unspecified_carcinoma,1701,826,4844
northern africa,adrenocortical,23,8,52
northern africa,thyroid,108,65,154
northern africa,nasopharyngeal,244,155,347
northern africa,melanoma,49,25,110
northern africa,skin_carcinoma,196,108,302
northern africa,unspecified_carcinoma,218,149,312
eastern asia,adrenocortical,52,15,97
eastern asia,thyroid,623,170,1209
eastern asia,nasopharyngeal,105,33,200
eastern asia,melanoma,85,23,151
eastern asia,skin_carcinoma,64,21,128
eastern asia,unspecified_carcinoma,380,107,588
south-central asia,adrenocortical,149,94,217
south-central asia,thyroid,738,535,1798
south-central asia,nasopharyngeal,417,295,571
south-central asia,melanoma,146,68,468
south-central asia,skin_carcinoma,431,267,687
south-central asia,unspecified_carcinoma,2097,1337,2695
south-eastern asia,adrenocortical,25,7,56
south-eastern asia,thyroid,388,234,674
south-eastern asia,nasopharyngeal,189,105,286
south-eastern asia,melanoma,62,27,115
south-eastern asia,skin_carcinoma,73,42,113
south-eastern asia,unspecified_carcinoma,598,389,909
western asia,adrenocortical,24,12,40
western asia,thyroid,147,89,219
western asia,nasopharyngeal,83,49,136
western asia,melanoma,44,22,76
western asia,skin_carcinoma,39,19,64
western asia,unspecified_carcinoma,132,81,196
eastern europe,adrenocortical,9,2,20
eastern europe,thyroid,119,63,198
eastern europe,nasopharyngeal,15,4,32
eastern europe,melanoma,35,16,58
eastern europe,skin_carcinoma,16,6,30
eastern europe,unspecified_carcinoma,60,29,95
northern europe,adrenocortical,4,0,9
northern europe,thyroid,16,6,28
northern europe,nasopharyngeal,6,1,14
northern europe,melanoma,14,4,25
northern europe,skin_carcinoma,9,1,19
northern europe,unspecified_carcinoma,20,7,33
southern europe,adrenocortical,3,0,7
southern europe,thyroid,61,38,86
southern europe,nasopharyngeal,8,2,17
southern europe,melanoma,34,20,51
southern europe,skin_carcinoma,14,4,30
southern europe,unspecified_carcinoma,26,14,41
western europe,adrenocortical,3,0,8
western europe,thyroid,51,24,79
western europe,nasopharyngeal,8,1,18
western europe,melanoma,57,32,82
western europe,skin_carcinoma,11,4,21
western europe,unspecified_carcinoma,57,27,90
northern america,adrenocortical,14,5,23
northern america,thyroid,162,71,218
northern america,nasopharyngeal,27,10,51
northern america,melanoma,126,52,176
northern america,skin_carcinoma,7,1,17
northern america,unspecified_carcinoma,109,65,149
caribbean,adrenocortical,2,0,8
caribbean,thyroid,21,8,36
caribbean,nasopharyngeal,6,1,15
caribbean,melanoma,7,1,16
caribbean,skin_carcinoma,20,6,42
caribbean,unspecified_carcinoma,29,13,58
central america,adrenocortical,33,15,67
central america,thyroid,114,55,170
central america,nasopharyngeal,110,53,192
central america,melanoma,46,15,107
central america,skin_carcinoma,144,54,340
central america,unspecified_carcinoma,94,33,191
south america,adrenocortical,63,24,113
south america,thyroid,207,122,302
south america,nasopharyngeal,43,15,94
south america,melanoma,108,68,151
south america,skin_carcinoma,137,66,236
south america,unspecified_carcinoma,197,123,278
oceania,adrenocortical,2,0,5
oceania,thyroid,4,0,10
oceania,nasopharyngeal,1,0,5
oceania,melanoma,5,0,14
oceania,skin_carcinoma,0,0,2
oceania,unspecified_carcinoma,5,0,13
australia/new zealand,adrenocortical,0,0,2
australia/new zealand,thyroid,4,0,12
australia/new zealand,nasopharyngeal,1,0,5
australia/new zealand,melanoma,13,2,27
australia/new zealand,skin_carcinoma,1,0,3
australia/new zealand,unspecified_carcinoma,11,2,21
eastern africa,ependymoma,175,60,406
eastern africa,astrocytoma,536,323,868
eastern africa,cns_embryonal,493,263,1034
eastern africa,other_gliomas,426,248,787
eastern africa,other_specified_cns,182,77,390
eastern africa,unspecified_cns,1093,704,1695
southern africa,ependymoma,77,39,175
southern africa,astrocytoma,197,111,319
southern africa,cns_embryonal,179,110,284
southern africa,other_gliomas,123,75,209
southern africa,other_specified_cns,45,24,82
southern africa,unspecified_cns,175,67,383
western africa,ependymoma,535,222,1218
western africa,astrocytoma,634,245,1395
western africa,cns_embryonal,576,188,1156
western africa,other_gliomas,238,97,440
western africa,other_specified_cns,217,84,536
western africa,unspecified_cns,1275,576,4734
northern africa,ependymoma,233,158,329
northern africa,astrocytoma,656,383,953
northern africa,cns_embryonal,571,313,793
northern africa,other_gliomas,188,115,255
northern africa,other_specified_cns,91,51,150
northern africa,unspecified_cns,429,256,669
eastern asia,ependymoma,671,237,1098
eastern asia,astrocytoma,1620,541,2861
eastern asia,cns_embryonal,1602,697,2518
eastern asia,other_gliomas,805,310,1268
eastern asia,other_specified_cns,326,78,765
eastern asia,unspecified_cns,1394,605,2286
south-central asia,ependymoma,1201,792,1552
south-central asia,astrocytoma,4580,3623,5533
south-central asia,cns_embryonal,3566,2115,4342
south-central asia,other_gliomas,2665,1739,3423
south-central asia,other_specified_cns,337,142,509
south-central asia,unspecified_cns,1458,1050,2189
south-eastern asia,ependymoma,162,91,252
south-eastern asia,astrocytoma,954,573,1478
south-eastern asia,cns_embryonal,896,558,1426
south-eastern asia,other_gliomas,296,175,496
south-eastern asia,other_specified_cns,47,17,120
